GME_NAAM,lat,lng
Watergraafsmeer,52.349,4.938
Molenwaard,51.8913,4.7718
Oud en Nieuw Gastel,51.584217,4.465256
Oude en Nieuwe Struiten,51.824851,4.14691
Valkenburg-Houthem,50.86567,5.832024
Darthuizen,52.0125,5.3981
Brouwershaven,51.703631,3.947869
Empel en Meerwijk,51.73555556,5.305
Ambt Delden,52.216666666,6.683333333
Deursen en Dennenburg,51.802,5.625
Amby,50.866666666,5.733333333
Dalen,52.7,6.75
Ursem,52.6272,4.8917
Spijk,51.855,5.0078
Onwaard,51.7625,4.1125
Oldeboorn,53.0482,5.8934
Vlijmen,51.6953,5.2119
Sinoutskerke en Baarsdorp,51.47805556,3.85333333
Peize,53.1478,6.4961
Koewacht,51.233333333,3.966666666
Berkenrode,52.35,4.61667
Grubbenvorst,51.4189,6.1431
Roordahuizum,53.1175,5.7842
De Mijl,51.804167,4.645833
Wirdum,53.1497,5.8039
Wieldrecht,51.783333333,4.65
Schoonebeek,52.6617,6.8831
Strijp,51.45538,5.42998
Westdongeradeel,53.380871,5.964203
Hoornaar,51.8767,4.9469
Bath,51.4031,4.2094
Gasselte,52.9719,6.7922
Gasselte,52.9719,6.79222
Haelen,51.23575,5.954675
Augustinusga,53.2172,6.1628
Beilen,52.8567,6.5111
Nunhem,51.2447,5.9611
Achttienhoven,52.146666666,4.856944444
Berghem,51.77,5.5747
Ambt Vollenhove,52.683333,5.983333
Indijk,52.105397,4.940458
Zesgehuchten,51.4211,5.5378
Sappemeer,53.1633,6.7767
Nieuwenhoorn,51.8542,4.1453
Nieuw-Beijerland,51.8119,4.3425
Posterholt,51.1219,6.0378
Hurwenen,51.8106,5.3178
Lent,51.8631,5.8667
Sluis-Aardenburg,51.30937,3.38791
Ammerzoden,51.75,5.22
Achthoven,52.0561,4.9942
Bergharen,51.85,5.6689
Doniawerstal,52.931877777,5.677527777
Burum,53.2736,6.2292
Oude Pekela,53.1025,7.0067
Oude Pekela,53.1,7.01667
Stellendam,51.8047,4.0242
Opijnen,51.8278,5.2983
Hoogvliet,51.866666666,4.35
Gorredijk,53.0033,6.0697
Hoogmade,52.16917,4.58194
Hoogmade,52.1692,4.5822
Herkingen,51.71,4.0872
Bleskensgraaf,51.8719,4.7828
"Vessem, Wintelre en Knegsel",51.4167,5.28333
De Friese Meren,52.925,5.683333333
Duivendijke,51.714167,3.9
Maasdam,51.7881,4.5561
Odijk,52.0503,5.2333
Lange Ruige Weide,52.043728,4.798365
IJzendoorn,51.906388888,5.533055555
Tull en 't Waal,52.0006,5.1331
Reiderland,53.166666666,7.083333333
Reiderland,53.1667,7.08333
Zuilen,52.127222,5.069444
Hooge en Lage Zwaluwe,51.698949,4.724464
Rijsoort en Strevelshoek,51.848055555,4.590833333
Meliskerke,51.5153,3.5119
Heerewaarden,51.8178,5.3917
Nederwetten en Eckart,51.48805556,5.51472222
Asperen,51.8814,5.1067
Peursum,51.85,4.916666666
Zuid-Waddinxveen,52.035096,4.655285
Smilde,52.9486,6.4483
Dinteloord en Prinsenland,51.634428,4.368782
Ackersdijk en Vrouwenregt,51.966667,4.4
Oudhuizen,52.2,4.933333333
Ginneken en Bavel,51.56666667,4.81666667
"Dieden, Demen en Langel",51.81666667,5.61666667
Nieuwpoort,51.9347,4.8681
Rolde,52.9869,6.6461
Rolde,52.9869,6.64611
Wilp,52.2186,6.1497
Hoeven,51.5775,4.580833333
Benthorn,52.0761,4.5625
Hoenkoop,52.015278,4.809167
Ambt Hardenberg,52.55,6.6
Herten,51.1803,5.9633
Herwen,51.883333333,6.1
Almenum,53.18333333,5.43333333
Helvoirt,51.6308,5.2297
Heythuysen,51.249639,5.898286
Vaesrade,50.9292,5.9061
Abcoude-Proostdij,52.270833333,4.980555555
Kollum,53.2792,6.1508
Houtrijk en Polanen,52.383877,4.753261
De Rijp,52.5569,4.8453
Groede,51.3789,3.5069
Duizel en Steensel,51.36916667,5.30861111
Graft,52.5608,4.8339
Aengwirden,53.0,5.916666666
Maire,51.42083,4.15833
Kantens,53.3656,6.6339
Uithuizen,53.4067,6.6722
Snelrewaard,52.033055555,4.916944444
Piershil,51.7933,4.3147
Vlaardinger-Ambacht,51.916666666,4.333888888
Nieuwer-Amstel,52.353333,4.906944
Warder,52.5641,5.0311
Koudum,52.9147,5.4503
Hennaarderadeel,53.108247,5.587234
Nieuwendam,52.3915,4.9341
Rietveld,52.0897,4.8511
Balk,52.8983,5.5783
Menaldum,53.215833,5.660556
Ooltgensplaat,51.6825,4.3492
Ittervoort,51.1719,5.8211
Nieuw-Helvoet,51.8381,4.1297
Wijngaarden,51.8444,4.7611
Andel,51.7839,5.0539
Oudshoorn,52.133333,4.666667
Loenersloot,52.2297,5.0014
Zeeland,51.6967,5.6731
Mildam,52.9361,6.0017
Schellingwoude,52.3844,4.9661
Langweer,52.9578,5.7228
Krimpen aan de Lek,51.89305556,4.6275
Nieuw-Ginneken,51.542705,4.806519
"Drongelen, Haagoort, Gansoijen en Doeveren",51.715,5.05416667
Beugen en Rijkevoort,51.667,5.917
Berkhout,52.6419,4.9969
Bozum,53.0886,5.6958
Barsingerhorn,52.785277777,4.841666666
Berg en Terblijt,50.861119444,5.784469444
Baexem,51.2244,5.88
Willeskop,52.0242,4.9014
Sint Pancras,52.6631,4.7853
Charlois,51.87583,4.48611
Oud-Wulven,52.0444,5.155
Wimmenum,52.6392,4.6558
Spanbroek,52.6981,4.9608
Wilnis,52.1978,4.9
Zuidzande,51.3411,3.4519
Borger,52.9236,6.7922
Marrum,53.3222,5.8014
Utingeradeel,53.048437,5.83786
Leeuwarden,53.2,5.783333333
Warmenhuizen,52.7225,4.7397
Standdaarbuiten,51.612222,4.514444
Joure,52.9661,5.7997
Cabauw,51.9644,4.8983
Kortenhoef,52.2397,5.1147
Waverveen,52.2206,4.8961
Breukelen-Nijenrode,52.166666666,5.0
Ouderkerk aan den IJssel,51.9322,4.6361
Noordgouwe,51.6936,3.9386
Tongelre,51.4483,5.5178
Ambt Doetinchem,51.966667,6.316667
Vlijmen en Engelen,51.7082,5.23739
Ureterp,53.095,6.1689
Maasniel,51.1992,6.0136
Ankeveen,52.2653,5.0989
Avenhorn,52.62,4.9542
Spaarnwoude,52.403888888,4.694166666
Rauwerderhem,53.081666666,5.753055555
Elkerzee,51.725,3.8436
Huisseling en Neerloon,51.787382,5.659161
Scharwoude,52.6225,5.0081
Netterden,51.8544,6.3142
Brandwijk,51.8886,4.8136
Lith,51.8042,5.4408
Waarder,52.0614,4.8225
Ruwiel,52.183333333,4.983333333
Wijk aan Zee en Duin,52.4925,4.6111
Sint Jacobiparochie,53.2728,5.605
Bokhoven,51.7372,5.2319
Chaam,51.5044,4.8614
Abcoude-Baambrugge,52.246111,4.988611
Grosthuizen,52.616666666,4.983333333
Zeelst,51.4231,5.4164
Nieuwkuijk,51.6936,5.1806
Sonnega,52.8669,5.9606
Overschie,51.935,4.42944
Overschie,51.9358,4.42984
Oldekerk,53.219444444,6.338888888
Leende,51.3497,5.5525
Oijen en Teeffelen,51.811586,5.495052
Hillegersberg,51.956272,4.49255
Kampensnieuwland,51.588333,3.669444
Cillaarshoek,51.7706,4.5461
Sint Maartensregt,51.975192,4.31679
Vreeswijk,52.0,5.1
Rilland-Bath,51.416667,4.183333
Huizum,53.191389,5.811389
Giessen-Nieuwkerk,51.849647,4.885969
Maarsseveen,52.1408,5.0736
Oudheusden,51.723056,5.136111
Zuilichem,51.8086,5.1344
Oudkarspel,52.7114,4.8017
Linschoten,52.0628,4.9144
Rijsenburg,52.0436,5.2531
Schiebroek,51.96666667,4.48333333
Heukelum,51.8731,5.0767
Echteld,51.909067,5.498742
Arum,53.1297,5.4753
Nuenen en Gerwen,51.48027778,5.55777778
Dinther,51.645,5.486389
Esch,51.6103,5.2906
Rimburg,50.9169,6.0867
Capelle,51.692222222,4.985277777
Wieringerwaard,52.84,4.8678
Vlierden,51.4456,5.7581
Broek op Langedijk,52.6725,4.8056
Sprang,51.66972222,5.04972222
Weerselo,52.351944,6.857222
Lippenhuizen,53.0169,6.0936
Made en Drimmelen,51.694906,4.798965
Nieuwolda,53.2447,6.9758
De Vuursche,52.2078,5.2433
Lonneker,52.2506,6.9119
Noord-Waddinxveen,52.054167,4.640278
Zuiddorpe,51.2342,3.9017
Oude-Tonge,51.6914,4.2128
Diever,52.8556,6.3175
Ulrum,53.3589,6.3331
Sint Maarten,52.7717,4.7475
Kockengen,52.1517,4.9522
Oosthuizen,52.5708,4.9958
Schore,51.4625,3.9989
Stompwijk,52.0944,4.4697
Den Bommel,51.7153,4.285
Groote Lindt,51.81056,4.62889
Haastrecht,52.0003,4.7765
Ochten,51.9078,5.5678
Seghwaert,52.06667,4.5125
Schoten,52.406944,4.6425
Harlingen,53.183333333,5.433333333
Werkhoven,52.0239,5.2431
"Oploo, Sint Anthonis en Ledeacker",51.624624,5.872879
Jelsum,53.2344,5.7844
Stormpolder,51.9117,4.5744
Wanroij,51.6561,5.82
Siddeburen,53.2486,6.8644
Eenrum,53.3625,6.460556
Reek,51.7447,5.6831
Nieuw-Vossemeer,51.5897,4.2181
Ransdorp,52.3931,4.9942
Kijfhoek,51.8256,4.5922
Zalk en Veecaten,52.52056,6.00833
Goudswaard,51.7936,4.2783
Buggenum,51.2314,5.9825
Den Ham,52.465,6.4942
Hallum,53.3064,5.7856
Heer,50.840556,5.726944
Horssen,51.8556,5.6086
Oud-Alblas,51.8569,4.7047
Oterleek,52.633333333,4.841666666
Maashees en Overloon,51.57222222,5.98277778
Kedichem,51.86,5.0503
Tjalleberd,52.9978,5.9436
Groeneveld,52.016666666,4.316666666
Wittem,50.8133,5.9122
Marsum,53.3397,6.8756
Barradeel,53.217,5.517
Wijdewormer,52.4894,4.8733
Wijdewormer,52.50024,4.89244
Sint Anna ter Muiden,51.314444444,3.364166666
"Hoogeloon, Hapert en Casteren",51.4,5.266666666
Emmikhoven en Waardhuizen,51.783,4.983
Kerkwijk,51.7744,5.2194
Strijensas,51.7158,4.5861
Schellinkhout,52.6342,5.1203
Dalem,51.827777777,5.009444444
Besoyen,51.68333333,5.05
Lithoijen,51.8025,5.4633
Minnertsga,53.2508,5.595
Winssen,51.8833,5.7
Oirsbeek,50.9489,5.9089
Tjerkwerd,53.0419,5.5011
Obbicht en Papenhoven,51.03454,5.782242
Zevenhuizen,52.0108,4.58
Bierum,53.3814,6.8594
Sint Pieter,50.8258,5.6861
Elden,51.9575,5.8819
Strucht,50.85,5.866666666
Aalst,51.3964,5.4767
Huijbergen,51.4325,4.3744
Abstede,52.083333,5.130556
Schimmert,50.9056,5.8219
Vinkeveen,52.2128,4.9272
Meerlo,51.5119,6.0856
Noordwolde,52.8914,6.1422
Stolwijk,51.9736,4.7711
Beetsterzwaag,53.0611,6.0775
Biert,51.8269,4.2711
Barwoutswaarder,52.0825,4.8636
Nederhemert,51.7628,5.1617
Nederhemert,51.76518,5.16817
Oosterwolde,52.9903,6.2914
Stramproy,51.1933,5.7192
De Vennip,52.268367,4.629021
Rotterdam,51.95,4.416666666
Kleverskerke,51.5189,3.6631
Berkel-Enschot,51.5825,5.1428
Langezwaag,52.9831,6.0044
Hedikhuizen,51.7356,5.1839
Laagnieuwkoop,52.1322,4.9836
Venhuizen,52.662444,5.2
Odoorn,52.8508,6.8481
Eversdijk,51.47,3.95306
Nijland,53.0508,5.5756
Sluipwijk,52.0553,4.7419
Kwadijk,52.5275,4.9811
Stiphout,51.4858,5.6181
Dantumawoude,53.290638888,6.011583333
Schalkwijk,51.9939,5.1872
Westmaas,51.783333333,4.466666666
Ubach over Worms,50.9158,6.0517
Wemeldinge,51.5175,3.9956
Stad Vollenhove,52.6816,5.95184
Heel en Panheel,51.1774,5.88421
Oostvoorne,51.9119,4.1008
Oudelande,51.4083,3.8536
Noord-Polsbroek,51.977777777,4.848888888
Zuidwijk,52.06749,4.66807
Duist,52.216968,5.383644
Teckop,52.1333,4.9214
Teckop,52.133333,4.921389
Oude Niedorp,52.7178,4.8719
Herveld,51.8989,5.7475
Vrouwenparochie,53.2797,5.7003
Prinsenbeek,51.5981,4.7136
Herpen,51.7717,5.6417
Gassel,51.7403,5.7803
Haarzuilens,52.1214,4.9964
Deurne en Liessel,51.45,5.8
Meerkerk,51.92,4.9942
Vrijhoeve-Capelle,51.6667,5.03333
Goidschalxoord,51.827777777,4.458333333
Kats,51.5672,3.8856
Veldhoven en Meerveldhoven,51.4,5.391667
Hoogwoud,52.7153,4.9367
Dreumel,51.8492,5.4325
Alphen en Riel,51.5,4.983333
Noorddijk,53.245,6.6264
Koedijk,52.675,4.7483
Waardenburg,51.8322,5.2558
Westkerke,51.5364,4.0942
Afferden,51.8786,5.6333
's-Gravenambacht,51.888333,4.415278
's-Gravenhoek,51.591111,3.779167
's-Gravesloot,52.095,4.879167
't Woud,51.995477,4.293358
Abtsregt,51.988889,4.386111
Sint Annaparochie,53.2764,5.6572
Twello,52.2333,6.1022
Ameide,51.9539,4.9625
Amstenrade,50.9383,5.9222
Melick en Herkenbosch,51.157923,6.040249
Cuijk en Sint Agatha,51.71666667,5.88333333
Sint Kruis,51.2731,3.4997
Neeritter,51.1644,5.8036
Sterkenburg,52.02232,5.28262
Sterkenburg,52.0233,5.2836
Wulverhorst,52.064166666,4.891666666
Sint Anthoniepolder,51.7972,4.5333
Cothen,51.9961,5.3097
Oudenhoorn,51.8269,4.1917
Drunen,51.683333333,5.166666666
IJlst,53.008611,5.624444
Batenburg,51.8233,5.6278
Berkenwoude,51.9453,4.7089
Nieuwe Pekela,53.0786,6.9642
Nieuwe Pekela,53.0833,6.98333
Bladel en Netersel,51.383333333,5.216666666
Blankenham,52.7647,5.8964
Blija,53.3517,5.8611
Bommenede,51.734444,3.978889
Borkel en Schaft,51.2975,5.4417
Borssele,51.4231,3.7353
Strevelshoek,51.853889,4.581667
Rossum,51.8,5.33333333
Rossum,51.8008,5.3356
Rosmalen,51.7192,5.3672
Oostdongeradeel,53.354035,6.081276
Waspik,51.6867,4.9444
Koudekerk aan den Rijn,52.1347,4.6019
Broek,52.015,4.6797
Noord-Scharwoude,52.700556,4.810278
Noord-Scharwoude,52.7006,4.8103
Broek in Waterland,52.4361,4.9942
Broek in Waterland,52.43417,4.99583
Broekhuizen,51.4853,6.1633
Broeksittard,51.0,5.883333333
Twisk,52.7403,5.0517
Buttinge en Zandvoort,51.518304,3.573174
Stoutenburg,52.1539,5.4325
Stad aan 't Haringvliet,51.7392,4.2419
Capelle en Botland,51.65,3.966667
Everdingen,51.9647,5.1564
Catharijne,52.089722222,5.111666666
Moerkapelle,52.0456,4.5753
Zwammerdam,52.1058,4.7272
Hardinxveld,51.8256,4.8381
Stad Ommen,52.5333,6.41667
Fijnaart en Heijningen,51.63805,4.470406
Hoogblokland,51.8742,4.975
Maasbommel,51.820833333,5.536388888
Drongelen,51.715,5.0542
Drongelen,51.7161,5.05361
Baardwijk,51.691944,5.095556
Poortugaal,51.8553,4.3967
Gieten,53.0053,6.7631
Schelluinen,51.8425,4.9258
Ottoland,51.8931,4.8756
Veessen,52.3761,6.0892
Diessen,51.4739,5.1747
Nijbroek,52.292778,6.0625
Nijeveen,52.7328,6.1675
Vierpolders,51.8783,4.1794
Zwartewaal,51.8833,4.2208
Veenwouden,53.2372,5.9853
Oldehove,53.3025,6.392778
Langbroek,52.0122,5.3269
Rauwerd,53.0981,5.7592
Udenhout,51.6094,5.1403
Spaubeek,50.9378,5.8414
Wanneperveen,52.7044,6.1206
Schoterland,52.945742,5.957336
Merkelbeek,50.9542,5.9403
Wanssum,51.5358,6.0753
Giessen,51.7886,5.0328
Hemmen,51.9339,5.7006
Oenkerk,53.2533,5.8983
Olst,52.3378,6.1108
Domburg-Binnen,51.56361111,3.49777778
Domburg-Buiten,51.54777778,3.48583333
Verwolde,52.20056,6.39194
Ellemeet,51.7297,3.8164
Ellewoutsdijk,51.3903,3.8158
Erp,51.6003,5.6053
Geervliet,51.8611,4.2622
Kattendijke,51.5228,3.9433
Uithuizermeeden,53.4144,6.7264
Zegveld,52.1161,4.8347
Hefshuizen,53.415364,6.700459
Ophemert,51.8453,5.3842
Lobith,51.8617,6.1181
Wijk en Aalburg,51.7542,5.1306
Holten,52.281388888,6.418611111
Vaassen,52.2881,5.9694
Hoogelande,51.5067,3.5608
Urmond,50.9906,5.7711
Schoonrewoerd,51.9206,5.1158
Grijpskerke en Poppendamme,51.5281,3.55751
Groet,52.7231,4.6681
Groot-Ammers,51.9236,4.8206
Steenwijkerwold,52.8036,6.0617
Nigtevecht,52.2742,5.0278
Vriezenveen,52.4117,6.6256
Haarlemmerliede,52.3881,4.6875
Veen,51.7769,5.1097
Hazerswoude,52.1,4.583333333
Heer en Keer,50.8329,5.74302
Hekendorp,52.0153,4.8092
Herpt,51.733333,5.15
Hofwegen,51.866666666,4.783333333
Lekkerkerk,51.8972,4.6828
Stad Hardenberg,52.5756,6.61881
Idaarderadeel,53.127513,5.860176
Kortgene,51.5583,3.8
Oosterzee,52.8744,5.7731
Waterlandkerkje,51.3175,3.5539
Kamerik-Houtdijken,52.109036111,4.912261111
Stoppeldijk,51.3219,3.9856
Kleine-Lindt,51.8294,4.575
Laagblokland,51.890716,4.846687
Gemert,51.554022,5.691089
Leeuwen,51.8842,5.52939
Leeuwen,51.88583333,5.53194444
Lierop,51.4178,5.6819
Princenhage,51.5763,4.7394
Loenen en Wolferen,51.88333333,5.78333333
Maarssenbroek,52.1339,5.0264
Westwoud,52.6864,5.1333
Meerdervoort,51.808333,4.641667
"Meeuwen, Hill en Babyloniënbroek",51.7411,5.02006
Midwoud,52.7178,5.0736
"Naters, Netherlands",51.877922,4.115753
"Nieuwland, Kortland en 's-Graveland",51.9212,4.39131
Ooij en Persingen,51.85444444,5.94166667
"Oost-, West- en Middelbeers",51.468019444,5.250605555
Opperdoes,52.7597,5.0781
Oud- en Nieuw-Mathenesse,51.91333333,4.41944444
Portengen,52.1558,4.9633
Raamsdonk,51.6878,4.9081
Rengerskerke en Zuidland,51.66916667,3.86944444
Rijnsaterwoude,52.1986,4.6694
Rijsbergen,51.516666666,4.7
Rilland en Bath,51.4095,4.19781
Roosendaal en Nispen,51.50543,4.462337
Ruiven,51.995278,4.398611
Sambeek,51.6361,5.9661
Zevender,51.9611,4.8803
Sandelingen-Ambacht,51.84583333,4.61666667
Schuddebeurs en Simonshaven,51.82222222,4.3
Sint Anthonis en Ledeacker,51.63187,5.876827
Soerendonk en Sterksel,51.303145,5.574188
Stad Doetinchem,51.9655,6.28894
Stad Almelo,52.354522222,6.666180555
Stichts Loenen,52.2061,4.99741
Velp,51.747777777,5.717222222
Vrijhoeven,52.154167,4.719444
Vrije en Lage Boekhorst,52.1958,4.55
Westkapelle-Binnen,51.529305,3.440909
Windeweer,53.116667,6.783333
Zuid-Polsbroek,51.976263888,4.851880555
Zuid-Scharwoude,52.6842,4.8081
Zuid- en Noord-Schermer,52.5881,4.82167
Zuidland,51.8219,4.2581
Hardenberg,52.5667,6.6
Alphen,52.12833333,4.65361111
IJsselmonde,51.9,4.55
Oost-Barendrecht,51.8525,4.54861111
Oosterbroek,53.129856,6.873794
West-Barendrecht,51.8592,4.52639
Roermond,51.2,5.983333333
Kralingen,51.92487,4.50709
Obdam,52.674258,4.899467
Denekamp,52.413072,6.973572
Ewijk,51.883333333,5.7
Heel,51.18056,5.89639
Hunsel,51.174178,5.800781
Putte,51.3506,4.39778
Wognum,52.681944,5.022778
Rijswijk,51.7975,5.0236
Kessel,51.8036,5.4042
Maren,51.7917,5.3797
"Dussen, Munster en Muilkerk",51.7317,4.9633
Dussen,51.7317,4.9633
Bussum,52.27333,5.16111
Naarden,52.295277777,5.162222222
Wonseradeel,53.1,5.466666666
Witmarsum,53.1019,5.4672
"Heesbeen, Eethen en Genderen",51.7353,5.0878
Genderen,51.7353,5.0878
Graauw en Langendam,51.3278,4.1022
Wommels,53.10883,5.58749
Bourtange,53.0067,7.1917
Land van Cuijk,51.6,5.8
Giethoorn,52.739722222,6.0775
's-Gravendeel,51.783333333,4.616666666
Bangert,52.666666666,5.166666666
Korendijk,51.7592,4.3122
Midden-Delfland,51.9622,4.2997
Cadier,50.833333,5.766667
Vliet,52.0908,4.40972
Nissewaard,51.83716,4.2754
Kamerik-Mijzijde,52.143056,4.885833
Borgharen,50.878056,5.688333
Zutphen,52.1333,6.2
Hof van Delft,52.004164,4.345436
Vrijenban,52.017778,4.352778
Krimpenerwaard,51.9822,4.78167
Margraten,50.8225,5.82028
Itteren,50.8958,5.70472
Reusel,51.3617,5.16306
Bemelen,50.83333333,5.75
Sint Geertruid,50.7964,5.76556
Noorbeek,50.7681,5.81306
Mheer,50.782777777,5.793055555
Wijlre,50.816666666,5.883333333
Klimmen,50.876388888,5.881944444
Geulle,50.9225,5.750277777
Elsloo,50.970966666,5.754088888
Berg en Dal,51.8292,5.92583
Gronsveld,50.808611111,5.73
Ravenstein,51.783333,5.65
Gulpen,50.8,5.883333333
Gooise Meren,52.283333333,5.166666666
Meierijstad,51.616944444,5.548055555
Veldhuizen,52.076389,5.0075
Stein,52.0,4.78333
Kethel en Spaland,51.9439,4.38694
Kampen,52.55,5.9
Midden-Groningen,53.184722,6.811111
Woensel,51.483333,5.466667
Waadhoeke,53.1875,5.54
Westerwolde,53.091904,7.126865
Franekeradeel,53.15,5.55
Het Hogeland,53.4136,6.5273
Altena,51.766666666,4.966666666
Cadier en Keer,50.82833333,5.76777778
Eijsden,50.777778,5.710833
Vijfheerenlanden,51.9303,5.0533
Noardeast-Fryslân,53.334722222,6.047222222
Beekdaelen,50.942888888,5.886611111
Westerkwartier,53.2249,6.3528
Leens,53.3608699,6.3877704
West Betuwe,51.883333333,5.283333333
Eibergen,52.1,6.65
Jabeek,50.981667,5.941389
Muiden,52.32758,5.07912
Vollenhove,52.68333333,5.98333333
Bergambacht,51.93141,4.75597
Blokker,52.664359,5.106068
Middelharnis,51.75347222,4.16469444
Franeker,53.1875,5.54
Grijpskerke,51.5339,3.5617
Molenlanden,51.8947,4.8597
Luyksgestel,51.29,5.3239
Sint-Oedenrode,51.5637,5.46537
Hoeksche Waard,51.766666666,4.466666666
Jisp,52.5,4.833333333
Eemsdelta,53.333333333,6.833333333
Dijk en Waard,52.666666666,4.833333333
Bergeyk,51.3203,5.3592
Riethoven,51.3536,5.3864
Middelburg,52.0569,4.6817
Boskoop,52.066666666,4.633333333
Wieringen,52.9,4.97
